aAcc,mIoU,mAcc,data_time,time,step
68.84,25.66,37.82,0.0021683216094970704,0.6543883562088013,400.0
70.31,30.33,38.09,0.001659250259399414,0.16187260150909424,800.0
82.59,41.57,46.49,0.0016451358795166015,0.16279206275939942,1200.0
77.68,39.86,46.75,0.0016583442687988282,0.16279377937316894,1600.0
77.53,40.93,46.96,0.0016922235488891601,0.16292645931243896,2000.0
81.05,39.65,45.41,0.0018519878387451172,0.16340885162353516,2400.0
87.11,55.24,62.96,0.0016323328018188477,0.16310150623321534,2800.0
